UserName,Password,Email,FullName,Birthday,CharacterName,CharacterAge,Health,XP,Copper,,,,,
esowthcote0,lC6*oMFhAIOY,esowthcote0@freewebs.com,Dru Jacquest,1983-12-22,Estrellita Sowthcote,45,6,116,23,,,," (N'esowthcote0', N'lC6*oMFhAIOY', N'esowthcote0@freewebs.com',N'Dru Jacquest',N'1983-12-22',N'Estrellita Sowthcote',N'45',N'6',N'116',N'23'),",1983-12-22
plampl1,tF3/*Kr6Ak0RF,plampl1@dropbox.com,Mordecai Ellor,2010-01-01,Port Lampl,82,7,170,55,,,," (N'plampl1', N'tF3/*Kr6Ak0RF', N'plampl1@dropbox.com',N'Mordecai Ellor',N'2010-01-01',N'Port Lampl',N'82',N'7',N'170',N'55'),",2010-01-01
aposen2,hC5?/0w%hT%,aposen2@sciencedirect.com,Auria Penwright,1991-03-01,Alexina Posen,70,3,55,74,,,," (N'aposen2', N'hC5?/0w%hT%', N'aposen2@sciencedirect.com',N'Auria Penwright',N'1991-03-01',N'Alexina Posen',N'70',N'3',N'55',N'74'),",1991-03-01
kberinger3,dN3|L/ER41gf@,kberinger3@berkeley.edu,Benedicta Olivelli,2006-09-22,Kit Beringer,8,7,61,45,,,," (N'kberinger3', N'dN3|L/ER41gf@', N'kberinger3@berkeley.edu',N'Benedicta Olivelli',N'2006-09-22',N'Kit Beringer',N'8',N'7',N'61',N'45'),",2006-09-22
pandriolli4,rC1_oG\LJ8,pandriolli4@t-online.de,Erin Giorgiutti,1980-03-08,Purcell Andriolli,64,5,100,54,,,," (N'pandriolli4', N'rC1_oG\LJ8', N'pandriolli4@t-online.de',N'Erin Giorgiutti',N'1980-03-08',N'Purcell Andriolli',N'64',N'5',N'100',N'54'),",1980-03-08
pwordesworth5,aA5+RaaR+T,pwordesworth5@howstuffworks.com,Stafford Goldstone,1999-07-17,Pip Wordesworth,4,3,118,87,,,," (N'pwordesworth5', N'aA5+RaaR+T', N'pwordesworth5@howstuffworks.com',N'Stafford Goldstone',N'1999-07-17',N'Pip Wordesworth',N'4',N'3',N'118',N'87'),",1999-07-17
btrask6,zN2)87'&Ye,btrask6@ed.gov,Remy Chasle,1986-01-07,Broderic Trask,60,8,128,78,,,," (N'btrask6', N'zN2)87'&Ye', N'btrask6@ed.gov',N'Remy Chasle',N'1986-01-07',N'Broderic Trask',N'60',N'8',N'128',N'78'),",1986-01-07
ebelchamp7,sW3/VolU,ebelchamp7@cmu.edu,Dorian Greenhalgh,1996-01-16,Estelle Belchamp,45,8,94,3,,,," (N'ebelchamp7', N'sW3/VolU', N'ebelchamp7@cmu.edu',N'Dorian Greenhalgh',N'1996-01-16',N'Estelle Belchamp',N'45',N'8',N'94',N'3'),",1996-01-16
adiamant8,"yQ5's&'r,+",adiamant8@wikipedia.org,Brook Androletti,2006-12-21,Alister Diamant,83,5,22,62,,,," (N'adiamant8', N'yQ5's&'r,+', N'adiamant8@wikipedia.org',N'Brook Androletti',N'2006-12-21',N'Alister Diamant',N'83',N'5',N'22',N'62'),",2006-12-21
mtym9,bL0&BQb9REJg7*,mtym9@addthis.com,Bendix Shankle,2017-01-27,Marleah Tym,84,5,37,44,,,," (N'mtym9', N'bL0&BQb9REJg7*', N'mtym9@addthis.com',N'Bendix Shankle',N'2017-01-27',N'Marleah Tym',N'84',N'5',N'37',N'44'),",2017-01-27
